	sum 	deprecate?	flag for upgrade?	comments
EasyBuild/3.1.0	0			
EasyBuild/3.1.1	0			
EasyBuild/3.1.2	0			
EasyBuild/3.2.1	0			
EasyBuild/3.3.0	0			
EasyBuild/3.3.1	0			
EasyBuild/3.4.0	0			
EasyBuild/3.4.1	0			
EasyBuild/3.5.0	0			
EasyBuild/3.5.1	0			
EasyBuild/3.5.2	0			
EasyBuild/3.6.0	0			
EasyBuild/3.6.2	0			
EasyBuild/3.7.0	0			
EasyBuild/3.7.1	0			
EasyBuild/3.8.1	0			
EasyBuild/3.9.2	0			
EasyBuild/3.9.3	0			
EasyBuild/3.9.4	0			
EasyBuild/4.0.0	0			
EasyBuild/4.0.1	0			
EasyBuild/4.1.0	0			
EasyBuild/4.1.1	0			
EasyBuild/4.1.2	12			
EasyBuild/4.2.0	15			
EasyBuild/4.2.2	19			
EasyBuild/4.3.0	11			
Eigen/3.2.3-foss-2016a	1			
Eigen/3.2.3-foss-2016b	807			
Emacs/25.1-GCC-4.9.3-2.25	0			
Emacs/25.3-GCC-5.4.0-2.26	1			
FASTX-Toolkit/0.0.14-foss-2016a	8			
FASTX-Toolkit/0.0.14-foss-2016b	1187			
FFTW/3.3.4-gompi-2016a	6237			
FFTW/3.3.4-gompi-2016b	126741			
FFTW/3.3.7-gompi-2018a	1			
FFTW/3.3.8-gompi-2018b	25378			
FastQC/0.11.5-Java-1.8.0_121	2713			
FastQC/0.11.9-Java-1.8	462			
FastQ_Screen/0.13.0-foss-2016b-Perl-5.24.1	65			
FastQ_Screen/0.14.1-foss-2018b-Perl-5.28.0	15			
FastTree/2.1.10-foss-2016a	0			
FastTree/2.1.11-foss-2018b-double	0			
FastUniq/1.1-foss-2018b	120			
FineSTRUCTURE/2.1.1-foss-2016b	0			
GATK/3.4-46-Java-1.8.0_121	1			
GATK/3.5-Java-1.7.0_80	13			
GATK/3.7-Java-1.8.0_121	0			
GATK/3.7-Java-1.8.0_92	81			
GATK/3.8-0-Java-1.8.0_121	641			
GATK/3.8-0-ge9d806836-Java-1.8	1			
GATK/3.8-1-0-gf15c1c3ef-Java-1.8	31			
GATK/4.0.6.0-Java-1.8.0_121	130			
GATK/4.1.0.0-Java-1.8.0_121	1230			
GATK/4.1.8.1-Java-1.8	444			
GCC/4.9.3-2.25	6256			
GCC/5.4.0-2.26	127037			
GCC/6.3.0-2.27	654			
GCC/6.4.0-2.28	91			
GCC/7.3.0-2.30	26200			
GCCcore/4.9.3	6878			
GCCcore/5.4.0	127016			
GCCcore/6.3.0	197			
GCCcore/6.4.0	91			
GCCcore/7.3.0	30442			
GD/2.66-foss-2016b-Perl-5.24.1	72			
GDAL/2.1.0-foss-2016a	172			
GDAL/2.1.0-foss-2016b	521			
GDAL/2.1.1-foss-2016b	5877			
GDAL/2.2.3-foss-2016b	7174			
GDAL/2.2.3-foss-2018b-Python-3.7.0	9763			
GDGraph/1.54-foss-2018b-Perl-5.28.0	15			
GEOS/3.6.2-foss-2018b-Python-3.7.0	9773			
GL2PS/1.3.9-foss-2016a-Mesa-11.2.1	1			
GLIMMER/3.02b-foss-2016b	0			
GLPK/4.61-foss-2016b	13215			
GLib/2.47.5-foss-2016a	1			
GLib/2.49.5-foss-2016b	12988			
GLib/2.51.2-foss-2016b	12962			
GLib/2.54.3-GCCcore-7.3.0	9819			
GMP/6.1.0-foss-2016a	1790			
GMP/6.1.0-foss-2016b	8044			
GMP/6.1.1-foss-2016a	172			
GMP/6.1.1-foss-2016b	21926			
GMP/6.1.2-GCCcore-7.3.0	11572			
GMP/6.1.2-foss-2016b	0			
GObject-Introspection/1.48.0-foss-2016b	0			
GObject-Introspection/1.49.1-foss-2016b	0			
GObject-Introspection/1.51.3-foss-2016b	12969			
GSL/1.16-foss-2016a	0			
GSL/2.1-foss-2016a	82			
GSL/2.1-foss-2016b	7			
GSL/2.3-foss-2016b	7636			
GSL/2.5-GCC-7.3.0-2.30	10081			
Ghostscript/9.23-GCCcore-7.3.0	9749			
Globus-CLI/1.2.0	0			
Globus-CLI/1.2.3	25			
Go/1.10.1	0			
Gradle/3.3	0			
Gradle/3.4.1	1			
HDF5/1.10.0-patch1-foss-2016b	0			
HDF5/1.10.1-foss-2016b	7285			
HDF5/1.10.1-foss-2016b-serial	7193			
HDF5/1.10.2-foss-2018b	9792			
HDF5/1.10.2-foss-2018b-serial	2			
HDF5/1.8.16-foss-2016a-serial	22			
HDF5/1.8.16-foss-2016b	1			
HDF5/1.8.17-foss-2016a	172			
HDF5/1.8.17-foss-2016b	9395			
HDF5/1.8.18-foss-2016a	0			
HDF5/1.8.18-foss-2016b	21145			
HISAT2/2.0.4-foss-2016b	0			
HISAT2/2.1.0-foss-2016b	6167			
HMMER/3.1b2-foss-2016a	10			
HMMER/3.1b2-foss-2016b	46			
HTSeq/0.6.1p1-foss-2016a-Python-2.7.11	190			
HTSeq/0.6.1p1-foss-2016b-Python-2.7.13	7957			
HTSeq/0.9.1-foss-2016b-Python-2.7.12	4			
HTSlib/1.11-GCCcore-7.3.0	5			
HTSlib/1.3-foss-2016a	13			
HTSlib/1.3-foss-2016b	85			
HTSlib/1.4.1-foss-2016a	64			
HTSlib/1.9-foss-2018b	1076			
HarfBuzz/1.3.1-foss-2016b	5697			
HarfBuzz/1.4.3-foss-2016b	12960			
HiC-Pro/2.10.0	12			
HyPhy/2.3.11-foss-2016b	0			
ICU/61.1-GCCcore-7.3.0	9758			
IGV/2.4.5-Java-1.8.0_121	94			
IMOD/4.9.4_RHEL6-64_CUDA8.0	0			
ImageMagick/7.0.8-11-GCCcore-7.3.0	9747			
Infernal/1.1.2-foss-2016b	0			
JAGS/4.2.0-foss-2016b	12982			
JUnit/4.12-Java-1.8.0_121	0			
JUnit/4.12-Java-1.8.0_92	0			
JasPer/2.0.14-GCCcore-7.3.0	9759			
Java/1.7.0_80	25			
Java/1.8.0_111	0			
