	sum 	deprecate?	flag for upgrade?	comments
cellranger-atac/1.1.0	184			
cellranger-dna/1.0.0	0			
cellranger/1.3.0	1			
cellranger/1.3.1	6			
cellranger/2.0.0	0			
cellranger/2.0.1	1			
cellranger/2.1.0	1			
cellranger/2.1.1	49			
cellranger/3.0.0	1			
cellranger/3.0.2	120			
cellranger/3.1.0	3161			
cgpBattenberg/3.3.0	0			
chimerascan/0.4.5-foss-2016b-Python-2.7.13	0			
cramtools/3.0-Java-1.7.0_80	3			
cutadapt/1.16-foss-2016b-Python-2.7.13	1618			
cutadapt/1.9.1-foss-2016a-Python-2.7.11	10			
cutadapt/1.9.1-foss-2016b-Python-2.7.11	18			
cyrus-sasl/2.1.26-foss-2016b	7180			
cyvcf2/0.9.0-foss-2016b-Python-2.7.13	0			
dSQ/0.5	0			
dSQ/0.6	0			
dSQ/0.7	0			
dSQ/0.8	0			
dSQ/0.9	0			
dSQ/0.91	0			
dSQ/0.92	0			
dSQ/0.93	0			
dSQ/0.94	0			
dSQ/0.95	0			
dSQ/0.96	324			
dSQ/1.0	7			
dSQ/1.01	1			
dSQ/1.02	3			
dSQ/1.03	59			
dSQ/1.04	9			
dSQ/1.05	850			
damageproto/1.2.1-foss-2016a	0			
deepTools/2.5.7-foss-2016b-Python-2.7.13	7			
deepTools/3.1.3-foss-2016b-Python-2.7.13	12			
deepTools/3.3.0-foss-2016b-Python-2.7.13	124			
deepTools/3.4.3-foss-2018b-Python-2.7.15	52			
diffReps/1.55.6-foss-2016a-Perl-5.22.1	0			
disambiguate/1.0-foss-2016b	1			
dropEst/0.8.3	3			
dropSeqPipe/0.23-foss-2016b-Python-3.5.1	0			
dtcmp/1.1.0-gompi-2018b	1			
ea-utils/27a4809-foss-2016b	0			
ete2/2.3.10-foss-2016b-Python-2.7.13	0			
eudev/3.1.5-foss-2016a	1			
expat/2.1.1-foss-2016a	1			
expat/2.2.0-GCCcore-6.3.0	0			
expat/2.2.0-foss-2016a	172			
expat/2.2.0-foss-2016b	13498			
expat/2.2.5-GCCcore-6.4.0	1			
expat/2.2.5-GCCcore-7.3.0	10889			
fastPHASE/1.4.8	0			
fastq-tools/0.8-foss-2016b	3			
file/5.28-foss-2016b	6138			
fixesproto/5.0-foss-2016a	0			
fixesproto/5.0-foss-2016b	0			
flex/2.5.39	0			
flex/2.5.39-GCCcore-4.9.3	0			
flex/2.6.0	0			
flex/2.6.0-GCCcore-5.4.0	0			
flex/2.6.0-foss-2016a	0			
flex/2.6.0-foss-2016b	0			
flex/2.6.3	1			
flex/2.6.3-GCCcore-6.3.0	0			
flex/2.6.4	0			
flex/2.6.4-GCCcore-6.4.0	1			
flex/2.6.4-GCCcore-7.3.0	0			
fontconfig/2.11.95-foss-2016a	1			
fontconfig/2.12.1-GCCcore-6.3.0-libpng-1.6.29	0			
fontconfig/2.12.1-foss-2016b	12982			
fontconfig/2.13.0-GCCcore-7.3.0	9845			
fontsproto/2.1.3-foss-2016a	0			
foss/2016a	6245			
foss/2016b	126772			
foss/2018a	1			
foss/2018b	25380			
freebayes/1.1.0-foss-2016b	22846			
freebayes/1.2.0-foss-2018b	279			
freebayes/1.3.2-foss-2018b	128			
freeglut/3.0.0-foss-2016a-Mesa-11.2.1	1			
freeglut/3.0.0-foss-2016b	7279			
freetype/2.6.2-foss-2016a	205			
freetype/2.6.3-foss-2016a	1			
freetype/2.6.5-foss-2016b	21166			
freetype/2.7-foss-2016b	4			
freetype/2.7.1-GCCcore-5.4.0	12964			
freetype/2.7.1-GCCcore-6.3.0-libpng-1.6.29	0			
freetype/2.7.1-foss-2016b-harfbuzz-1.4.3	12959			
freetype/2.9.1-GCCcore-7.3.0	9851			
gettext/0.19.6	0			
gettext/0.19.6-foss-2016a	1			
gettext/0.19.7	0			
gettext/0.19.8	0			
gettext/0.19.8-foss-2016b	12974			
gettext/0.19.8.1	1			
gettext/0.19.8.1-GCCcore-6.3.0	0			
gettext/0.19.8.1-GCCcore-6.4.0-libxml2-2.9.7	1			
gettext/0.19.8.1-GCCcore-7.3.0	9813			
git/2.16.1-foss-2018a	1			
glproto/1.4.17-foss-2016a	0			
goleft/0.1.18	0			
gompi/2016a	6241			
gompi/2016b	126751			
gompi/2018a	5			
gompi/2018b	25384			
gperf/3.0.4-foss-2016a	0			
gperf/3.1-GCCcore-7.3.0	0			
help2man/1.47.4	1			
help2man/1.47.4-GCCcore-6.3.0	0			
help2man/1.47.4-GCCcore-6.4.0	1			
help2man/1.47.4-GCCcore-7.3.0	0			
hwloc/1.11.10-GCCcore-7.3.0	25738			
hwloc/1.11.2-GCC-4.9.3-2.25	6229			
hwloc/1.11.3-GCC-5.4.0-2.26	126752			
hwloc/1.11.8-GCCcore-6.4.0	5			
igraph/0.7.1-foss-2016b	3			
inputproto/2.3.1-foss-2016a	0			
inputproto/2.3.1-foss-2016b	7283			
intltool/0.51.0-GCCcore-7.3.0-Perl-5.28.0	0			
isaac2/02.16.03.09-foss-2016b	0			
jemalloc/4.2.0-foss-2016a	13			
jemalloc/4.2.0-foss-2016b	0			
jemalloc/5.1.0-GCCcore-7.3.0	388			
kallisto/0.42.5-foss-2016a	23			
kallisto/0.45.0	46			
kbproto/1.0.7-foss-2016a	0			
kbproto/1.0.7-foss-2016b	0			
libGLU/9.0.0-foss-2016a-Mesa-11.2.1	1			
libGLU/9.0.0-foss-2016b	7283			
libGLU/9.0.0-foss-2018b	9758			
libICE/1.0.9-foss-2016a	2			
libICE/1.0.9-foss-2016b	0			
libSM/1.2.2-foss-2016a	2			
libSM/1.2.2-foss-2016b	0			
libX11/1.6.3-foss-2016a	81			
libX11/1.6.3-foss-2016b	7290			
libXau/1.0.8-foss-2016a	81			
libXau/1.0.8-foss-2016b	7288			
libXdamage/1.1.4-foss-2016a	1			
libXdmcp/1.1.2-foss-2016a	81			
libXdmcp/1.1.2-foss-2016b	7285			
libXext/1.3.3-foss-2016a	1			
libXext/1.3.3-foss-2016b	7287			
libXfixes/5.0.1-foss-2016a	1			
libXfixes/5.0.1-foss-2016b	7280			
libXfont/1.5.1-foss-2016a-freetype-2.6.3	1			
libXft/2.3.2-foss-2016a-freetype-2.6.3	1			
libXi/1.7.2-foss-2016b	7281			
libXi/1.7.6-foss-2016a	1			
libXmu/1.1.2-foss-2016a	1			
libXpm/3.5.11-foss-2016a	1			
libXrandr/1.5.0-foss-2016a	1			
libXrandr/1.5.0-foss-2016b	7271			
libXrender/0.9.9-foss-2016a	2			
libXrender/0.9.9-foss-2016b	7277			
libXt/1.1.5-foss-2016a	2			
libXt/1.1.5-foss-2016b	0			
libarchive/3.4.2-GCCcore-7.3.0	1			
libcircle/0.3-gompi-2018b	1			
libdrm/2.4.68-foss-2016a	1			
libdrm/2.4.70-foss-2016b	12950			
libdrm/2.4.92-GCCcore-7.3.0	9755			
libedit/20180525-GCCcore-6.4.0	1			
libevent/2.1.8	0			
libevent/2.1.8-GCCcore-6.4.0	1			
libffi/3.2.1-GCCcore-7.3.0	11224			
libffi/3.2.1-foss-2016a	1			
libffi/3.2.1-foss-2016b	12985			
libfontenc/1.1.3-foss-2016a	0			
libgd/2.2.3-foss-2016b	0			
libgd/2.2.4-foss-2016b	73			
libgd/2.2.5-GCCcore-7.3.0	34			
libgeotiff/1.4.2-foss-2016b	7176			
libgeotiff/1.4.2-foss-2018b	9760			
libgtextutils/0.7-foss-2016a	0			
libgtextutils/0.7-foss-2016b	0			
libharu/2.3.0-foss-2016b	6			
libjpeg-turbo/1.4.2-foss-2016b	21			
libjpeg-turbo/1.5.0-foss-2016a	172			
libjpeg-turbo/1.5.0-foss-2016b	13604			
libjpeg-turbo/2.0.0-GCCcore-7.3.0	9801			
libpciaccess/0.13.4-foss-2016a	1			
libpciaccess/0.14-GCCcore-6.4.0	5			
libpciaccess/0.14-GCCcore-7.3.0	1			
libpng/1.6.21-foss-2016a	472			
libpng/1.6.23-foss-2016a	172			
libpng/1.6.23-foss-2016b	521			
libpng/1.6.24-foss-2016b	21312			
libpng/1.6.26-foss-2016b	4			
libpng/1.6.28-GCCcore-5.4.0	12959			
libpng/1.6.29-GCCcore-6.3.0	0			
libpng/1.6.34-GCCcore-7.3.0	9866			
libpthread-stubs/0.3-foss-2016a	0			
libpthread-stubs/0.3-foss-2016b	7296			
libreadline/6.3-foss-2016a	1794			
libreadline/6.3-foss-2016b	25620			
libreadline/7.0-GCCcore-7.3.0	11171			
libsndfile/1.0.28-GCCcore-7.3.0	9754			
libsodium/1.0.11-foss-2016b	21062			
libtool/2.4.6	2			
libtool/2.4.6-GCC-5.4.0-2.26	0			
libtool/2.4.6-GCCcore-6.3.0	0			
libtool/2.4.6-GCCcore-6.4.0	2			
libtool/2.4.6-GCCcore-7.3.0	4			
libtool/2.4.6-foss-2016a	0			
libtool/2.4.6-foss-2016b	0			
libwebp/0.6.1-foss-2016b	7191			
libxcb/1.11.1-foss-2016a	81			
libxcb/1.11.1-foss-2016b	7290			
libxml2/2.9.2-foss-2016a	0			
libxml2/2.9.3-foss-2016a	14			
libxml2/2.9.4-GCCcore-6.3.0	0			
libxml2/2.9.4-foss-2016a	172			
libxml2/2.9.4-foss-2016b	22608			
libxml2/2.9.4-foss-2016b-Python-2.7.12	0			
libxml2/2.9.7-GCCcore-6.4.0	5			
libxml2/2.9.8-GCCcore-7.3.0	10223			
libxslt/1.1.28-foss-2016a	0			
libxslt/1.1.29-foss-2016b	21272			
libyaml/0.1.7	1			
libyaml/0.2.1-GCCcore-7.3.0	5			
liftOver/2018-04-23	5			
liftOverPlink/20140325-foss-2016b-Python-2.7.13	0			
line_profiler/2.0-foss-2016b	0			
longranger/2.1.3	0			
longranger/2.1.4	0			
longranger/2.1.5	0			
longranger/2.2.2	7			
lpsolve/5.5.2.5-GCC-6.4.0-2.28	87			
lwgrp/1.0.2-gompi-2018b	1			
makedepend/1.0.5-foss-2016a	0			
matplotlib/1.5.1-foss-2016a-Python-2.7.11	205			
matplotlib/1.5.3-foss-2016b-Python-2.7.12	4			
matplotlib/2.2.3-foss-2018b-Python-2.7.15	41			
matplotlib/3.0.0-foss-2018b-Python-3.7.0	8			
miniconda/4.5.12	0			
miniconda/4.6.14	3945			
miniconda/4.7.10	3891			
miniconda/4.8.3	4795			
minimap2/2.12-foss-2016b	35			
mpifileutils/0.10.1-gompi-2018b	1			
multiisotonic/107a278-foss-2016b-Python-2.7.13	0			
mysqlclient/1.3.7-foss-2016a-Python-2.7.11	1			
ncbi-vdb/2.7.0-foss-2016b	6142			
ncurses/6.0	1			
ncurses/6.0-GCC-4.9.3-2.25	0			
ncurses/6.0-GCC-5.4.0-2.26	1			
ncurses/6.0-GCCcore-6.3.0	0			
ncurses/6.0-GCCcore-6.4.0	2			
ncurses/6.0-foss-2016a	1867			
ncurses/6.0-foss-2016b	41710			
ncurses/6.1-GCCcore-7.3.0	20038			
netCDF/4.4.1-foss-2016a	172			
netCDF/4.4.1-foss-2016b	6385			
netCDF/4.4.1.1-foss-2016b	21145			
netCDF/4.5.0-foss-2016b	7289			
netCDF/4.6.1-foss-2018b	9781			
nettle/3.2-foss-2016b	12951			
nettle/3.4-foss-2018b	9760			
networkx/2.5-foss-2018b-Python-3.7.0	4			
numactl/2.0.11-GCC-4.9.3-2.25	6229			
numactl/2.0.11-GCC-5.4.0-2.26	126742			
numactl/2.0.11-GCCcore-6.4.0	5			
numactl/2.0.11-GCCcore-7.3.0	25739			
omniCLIP/0.1.0-foss-2016b	0			
pRESTO/0.5.4-foss-2016b-Python-3.5.1	0			
parallel/20180322-foss-2016b	3604			
parallel/20180822-foss-2018b	474			
picard/2.1.1-Java-1.8.0_92	206			
picard/2.9.0-Java-1.8.0_121	9139			
pigz/2.4-GCCcore-7.3.0	2565			
pixman/0.34.0-GCCcore-7.3.0	9760			
pixman/0.34.0-foss-2016b	12967			
pkg-config/0.29-foss-2016a	0			
pkg-config/0.29-foss-2016b	0			
pkg-config/0.29.1-GCCcore-6.3.0	0			
pkg-config/0.29.1-foss-2016a	0			
pkg-config/0.29.1-foss-2016b	12968			
pkg-config/0.29.2-GCCcore-7.3.0	8			
poppler/0.54.0-foss-2016b	7177			
python-igraph/0.7.1.post6-foss-2016b-Python-2.7.13	0			
rMATS/3.2.5-foss-2016b	0			
rMATS/4.0.2-foss-2018b	3			
rainbow/2.0.4-foss-2016a	0			
randrproto/1.5.0-foss-2016a	0			
randrproto/1.5.0-foss-2016b	0			
renderproto/0.11-foss-2016a	0			
renderproto/0.11-foss-2016b	0			
revbayes/1.0.11-foss-2018b	0			
rpy2/2.8.6-foss-2016b-Python-2.7.13	0			
rpy2/2.8.6-foss-2016b-Python-3.5.1	1			
sbt/1.3.10	3			
shRNA/0.1-foss-2016a	5			
slurm-drmaa/1.0.7-foss-2016b	21071			
sparsehash/2.0.2-foss-2016a	0			
sparsehash/2.0.2-foss-2016b	1			
stress-ng/0.08.07	1			
stress-ng/0.08.07-foss-2016a	0			
stress-ng/0.08.07-foss-2016b	0			
supernova/1.1.5	0			
supernova/1.2.0	0			
supernova/1.2.1	0			
supernova/2.0.0	0			
supernova/2.0.1	0			
supernova/2.1.1	8			
tabix/0.2.6-GCCcore-7.3.0	25			
tabix/0.2.6-foss-2016a	20			
tabix/0.2.6-foss-2016b	51763			
tbb/2018_U5-GCCcore-7.3.0	457			
tmux/2.9a	0			
util-linux/2.29-foss-2016b	21073			
util-linux/2.32-GCCcore-7.3.0	9904			
xcb-proto/1.11	0			
xextproto/7.3.0-foss-2016a	0			
xextproto/7.3.0-foss-2016b	7288			
xorg-macros/1.19.0-foss-2016a	0			
xorg-macros/1.19.0-foss-2016b	0			
xorg-macros/1.19.1-GCCcore-6.4.0	1			
xorg-macros/1.19.2-GCCcore-7.3.0	1			
xproto/7.0.28-foss-2016a	0			
xproto/7.0.28-foss-2016b	7290			
xtrans/1.3.5-foss-2016a	2			
xtrans/1.3.5-foss-2016b	0			
ycga-public/1.0	1286			
zlib/1.2.11	9			
zlib/1.2.11-GCCcore-5.4.0	25985			
zlib/1.2.11-GCCcore-6.3.0	0			
zlib/1.2.11-GCCcore-6.4.0	91			
zlib/1.2.11-GCCcore-7.3.0	29557			
zlib/1.2.11-foss-2016a	10			
zlib/1.2.8	1			
zlib/1.2.8-GCCcore-4.9.3	0			
zlib/1.2.8-GCCcore-5.4.0	0			
zlib/1.2.8-foss-2016a	2232			
zlib/1.2.8-foss-2016b	89859			
