	sum 	toolchain	unused	deprecate?	flag for upgrade, then deprecate?	flag for upgrade only	hide only	comments
Subversion/1.9.7-iomkl-2018a	79	2018a						
SuiteSparse/5.1.2-foss-2018a-METIS-5.1.0	627	2018a						
SuiteSparse/5.1.2-foss-2018b-METIS-5.1.0	3419	2018b						
Summovie/1.0.2	0	system	Y	Y				
Synopsys/4.0	0	system	Y	Y				
Szip/2.1-GCCcore-5.4.0	1	2016b	Y	Y				
Szip/2.1-foss-2016b	12	2016b		Y				
Szip/2.1.1-GCCcore-6.4.0	167667	2018a						
Szip/2.1.1-GCCcore-7.3.0	5510	2018b						
Szip/2.1.1-foss-2016b	72	2016b		Y				
Tcl/8.6.4-foss-2016b	320	2016b		Y				
Tcl/8.6.5-foss-2016b	97	2016b		Y				
Tcl/8.6.7-foss-2016b	12	2016b		Y				
Tcl/8.6.8-GCCcore-6.4.0	174369	2018a						
Tcl/8.6.8-GCCcore-7.3.0	8977	2018b						
TeXLive/2016	1	system	Y	Y				
TeXLive/2019	151	system						
TeXLive/2019-GCCcore-6.4.0	5	2018a	Y	Y				
Tk/8.6.4-foss-2016b-no-X11	321	2016b		Y				
Tk/8.6.5-foss-2016b	85	2016b		Y				
Tk/8.6.7-foss-2016b	12	2016b		Y				
Tk/8.6.8-GCCcore-7.3.0	949	2018b						
Tk/8.6.8-foss-2018a	795	2018a						
Tkinter/3.6.4-foss-2018a-Python-3.6.4	61	2018a						
TopHat/2.1.1-foss-2016b	31	2016b		Y				
TotalView/2017.1.21	1	system	Y	Y				
UDUNITS/2.1.24-foss-2016b	12	2016b		Y				
UDUNITS/2.2.26-foss-2018b	948	2018b						
UDUNITS/2.2.26-iomkl-2018a	1016	2018a						
UFL/2018.1.0-foss-2018b-Python-3.6.6	1427	2018b						
Unblur/1.0.2	0	system	Y	Y				
VASP/5.4.1-iomkl-2018a	11415	2018a						
VASP/5.4.1-iomkl-2018b	3332	2018b						
VCFtools/0.1.15-foss-2018a-Perl-5.26.1	76	2018a						
VMD/1.9.3-foss-2018a-Python-2.7.14	775	2018a						
VTK/8.1.1-foss-2018b-Python-3.6.6	1389	2018b						
Vim/8.1.1209-GCCcore-6.4.0-Python-3.6.4	110	2018a						
VinaLC/1.3.0-foss-2018b	0	2018b	Y	Y				
WRF-Chem-deps/all-iomkl-2018a	2	2018a	Y	Y				
WRF-Chem-deps/all-iomkl-2018b	0	2018b	Y					
WRF-deps/all-iomkl-2018a	6	2018a	Y	Y				
WRF-deps/all-iomkl-2018b	43	2018b						
X11/20160819-foss-2016b	12	2016b		Y				
X11/20180131-GCCcore-6.4.0	73033	2018a						
X11/20180604-GCCcore-7.3.0	6321	2018b						
XML-LibXML/2.0132-GCCcore-6.4.0-Perl-5.26.1	79	2018a						
XML-Parser/2.44_01-GCCcore-6.4.0-Perl-5.26.1	39002	2018a						
XML-Parser/2.44_01-GCCcore-7.3.0-Perl-5.28.0	3	2018b	Y	Y				
XWAS/3.0	0	system	Y	Y				
XZ/5.2.2-GCCcore-5.4.0	0	2016b	Y	Y				
XZ/5.2.2-foss-2016b	344	2016b		Y				
XZ/5.2.3-GCCcore-6.4.0	303182	2018a						
XZ/5.2.4-GCCcore-7.3.0	33525	2018b						
YAXT/0.6.0-iomkl-2018a	266	2018a						
Yasm/1.3.0-GCCcore-6.4.0	39820	2018a						
ZeroMQ/4.1.4-foss-2016b	12	2016b		Y				
ZeroMQ/4.2.0-foss-2016b	11	2016b		Y				
amber/16tools17	1135	system						
amber/18tools19	252690	system						
amber/20tools20	30	system						
ant/1.9.7-Java-1.8.0_92	0	system	Y	Y				
arpack-ng/3.5.0-foss-2018a	45771	2018a						
arpack-ng/3.6.2-iomkl-2018a	266	2018a						
attr/2.4.48-GCCcore-7.3.0	2	2018b	Y	Y				
awscli/1.16.230-foss-2018a-Python-3.6.4	32	2018a						
bcl2fastq2/2-20-0-foss-2018b	5	2018b	Y	Y				
beagle-lib/2.1.2-foss-2016b	163	2016b		Y				
binutils/2.26	0	system	Y				hide	
binutils/2.26-GCCcore-5.4.0	24756	2016b		Y			hide	
binutils/2.28	0	system	Y				hide	
binutils/2.28-GCCcore-6.4.0	304598	2018a					hide	
binutils/2.30	0	system	Y				hide	
binutils/2.30-GCCcore-7.3.0	99307	2018b					hide	
binutils/2.35	1	system	Y				hide	
binutils/2.35-GCCcore-10.2.0	47401	system					hide	
bzip2/1.0.6-GCCcore-5.4.0	1299	2016b		Y				
bzip2/1.0.6-GCCcore-6.4.0	181157	2018a						
bzip2/1.0.6-GCCcore-7.3.0	90973	2018b						
bzip2/1.0.6-foss-2016b	783	2016b		Y				
bzip2/1.0.8-GCCcore-10.2.0	83029	system						
cURL/7.49.1-GCCcore-5.4.0	1	2016b	Y	Y				
cURL/7.49.1-foss-2016b	25	2016b		Y				
cURL/7.58.0-GCCcore-6.4.0	173620	2018a						
cURL/7.60.0-GCCcore-7.3.0	84633	2018b						
cURL/7.72.0-GCCcore-10.2.0	83004	system						
cairo/1.14.12-GCCcore-6.4.0	40516	2018a						
cairo/1.14.12-GCCcore-7.3.0	947	2018b						
cairo/1.14.6-foss-2016b	12	2016b		Y				
cellranger/3.1.0	54	system						
chapel/1.20-local-qt	45	system						
chapel/1.22-gasnet-fast-qt	58	system						
chapel/1.22-local-qt	1	system	Y	Y				
charmm/charmm40b1	3	system	Y	Y				
cuDNN/7.1.1-CUDA-9.1.85	56	system						
cuDNN/7.1.4-CUDA-9.0.176	950	system						
cuDNN/7.6.0-CUDA-9.2.148.1	328	system						
cuDNN/7.6.2.24-CUDA-10.0.130	442	system						
cuDNN/7.6.2.24-CUDA-10.1.105	846	system						
cyrus-sasl/2.1.26-foss-2016b	12	2016b		Y				
dSQ/0.92	604	system						
dSQ/0.93	0	system	Y	Y				
dSQ/0.95	135	system						
dSQ/0.96	1759	system						
dSQ/1.0	0	system	Y	Y				
dSQ/1.01	1	system	Y	Y				
dSQ/1.02	1	system	Y	Y				
dSQ/1.03	4	system	Y	Y				
dSQ/1.04	0	system	Y	Y				
dSQ/1.05	1351	system						
dbus-glib/0.110-GCCcore-6.4.0	39041	2018a						
dtcmp/1.1.0-gompi-2018b	2	2018b	Y	Y				
ecCodes/2.8.2-iomkl-2018a	266	2018a						
expat/2.2.0-foss-2016b	12	2016b		Y				
expat/2.2.4-GCCcore-6.4.0	90835	2018a						
expat/2.2.5-GCCcore-6.4.0	168872	2018a						
expat/2.2.5-GCCcore-7.3.0	6333	2018b						
fftw-3.3.8-intel-18.0.1-6r7j33h	153	system						
fftw-3.3.8-intel-18.0.3-wknhuxj	48	system						
flex/2.6.0	0	system	Y	Y				
flex/2.6.0-GCCcore-5.4.0	0	2016b	Y	Y				
flex/2.6.0-foss-2016b	0	2016b	Y	Y				
flex/2.6.3	0	system	Y	Y				
flex/2.6.4	1	system	Y	Y				
flex/2.6.4-GCCcore-10.2.0	1	system	Y	Y				
flex/2.6.4-GCCcore-6.4.0	0	2018a	Y	Y				
flex/2.6.4-GCCcore-7.3.0	339	2018b						
fontconfig/2.12.1-foss-2016b	12	2016b		Y				
fontconfig/2.12.6-GCCcore-6.4.0	72071	2018a						
fontconfig/2.13.0-GCCcore-7.3.0	6315	2018b						
foss/2016b	3139	2016b					hide	
foss/2018a	249836	2018a						
foss/2018b	15598	2018b						
fosscuda/2018b	10	2018b						
freeglut/3.0.0-foss-2016b	12	2016b		Y				
freeglut/3.0.0-foss-2018a	1897	2018a						
freetype/2.6.5-foss-2016b	23	2016b		Y				
freetype/2.7.1-GCCcore-5.4.0	12	2016b		Y				
freetype/2.7.1-foss-2016b	12	2016b		Y				
freetype/2.7.1-foss-2016b-harfbuzz-1.4.3	12	2016b		Y				
freetype/2.9-GCCcore-6.4.0	72121	2018a						
freetype/2.9.1-GCCcore-7.3.0	6332	2018b						
gc/7.6.0-GCCcore-6.4.0	73780	2018a						
gc/7.6.4-GCCcore-7.3.0	338	2018b						
gcccuda/2018b	14	2018b						
gettext/0.19.8	0	system	Y	Y				
gettext/0.19.8-foss-2016b	12	2016b		Y				
gettext/0.19.8.1	0	system	Y	Y				
gettext/0.19.8.1-GCCcore-6.4.0	126701	2018a						
gettext/0.19.8.1-GCCcore-6.4.0-libxml2-2.9.7	40555	2018a						
gettext/0.19.8.1-GCCcore-7.3.0	2708	2018b						
giflib/5.1.4-GCCcore-6.4.0	27	2018a						
git-2.27.0-gcc-7.3.0-el553kc	48	2018b						
git/2.14.1-GCCcore-6.4.0	97296	2018a						
gnuplot/5.2.2-foss-2018a	629	2018a						
golf/2018a	0	2018a	Y	Y				
gompi/2016b	3131	2016b					hide	
gompi/2018a	247358	2018a						
gompi/2018b	15942	2018b						
gompic/2018b	14	2018b						
gperf/3.1-GCCcore-6.4.0	657	2018a						
gperf/3.1-GCCcore-7.3.0	1408	2018b						
gsl-2.5-intel-18.0.1-qsuiqm2	153	system						
gsl-2.5-intel-18.0.3-z3s34dm	48	system						
gzip/1.8-GCCcore-6.4.0	39172	2018a						
hdf5-1.10.5-intel-18.0.1-h23uztv	153	system						
hdf5-1.10.6-intel-18.0.3-mapykwp	48	system						
help2man/1.47.16-GCCcore-10.2.0	1	system	Y	Y				
help2man/1.47.4	0	system	Y	Y				
help2man/1.47.4-GCCcore-6.4.0	0	2018a	Y	Y				
help2man/1.47.4-GCCcore-7.3.0	0	2018b	Y	Y				
hwloc/1.11.10-GCCcore-7.3.0	33183	2018b						
hwloc/1.11.3-GCC-5.4.0-2.26	11160	2016b		Y				
hwloc/1.11.3-iccifort-2016.3.210-GCC-5.4.0-2.26	5081	2016b		Y				
hwloc/1.11.4-iccifort-2017.1.132-GCC-5.4.0-2.26	57	2016b		Y				
hwloc/1.11.7-GCCcore-6.4.0	8	2018a	Y	Y				
hwloc/1.11.8-GCCcore-6.4.0	311514	2018a						
icc/2016.3.210-GCC-5.4.0-2.26	6837	2016b		Y				
icc/2017.1.132-GCC-5.4.0-2.26	57	2016b		Y				
icc/2018.1.163-GCC-6.4.0-2.28	51142	2018a						
icc/2018.3.222-GCC-7.3.0-2.30	21059	2018b						
iccifort/2016.3.210-GCC-5.4.0-2.26	6812	2016b		Y				
iccifort/2017.1.132-GCC-5.4.0-2.26	57	2016b		Y				
iccifort/2018.1.163-GCC-6.4.0-2.28	54192	2018a						
iccifort/2018.3.222-GCC-7.3.0-2.30	21306	2018b						
ifort/2016.3.210-GCC-5.4.0-2.26	6825	2016b		Y				
ifort/2017.1.132-GCC-5.4.0-2.26	57	2016b		Y				
ifort/2018.1.163-GCC-6.4.0-2.28	50760	2018a						
ifort/2018.3.222-GCC-7.3.0-2.30	24995	2018b						
iimpi/2016b	4	2016b	Y	Y				
iimpi/2018a	39538	2018a						
iimpi/2018b	4190	2018b						
imkl/11.3.3.210-iimpi-2016b	4	2016b	Y	Y				
imkl/11.3.3.210-iompi-2016.09-GCC-5.4.0-2.26	7671	2016b		Y				
imkl/2017.1.132-iompi-2017.01	61	system						
imkl/2018.1.163-gompi-2018a	4	2018a	Y	Y				
imkl/2018.1.163-iimpi-2018a	39244	2018a						
imkl/2018.1.163-iompi-2018a	49957	2018a						
imkl/2018.3.222-iimpi-2018b	4186	2018b						
imkl/2018.3.222-iompi-2018b	6377	2018b						
impi/2018.1.163-iccifort-2018.1.163-GCC-6.4.0-2.28	40286	2018a						
impi/2018.3.222-iccifort-2018.3.222-GCC-7.3.0-2.30	4202	2018b						
impi/5.1.3.210-iccifort-2016.3.210-GCC-5.4.0-2.26	4	2016b	Y	Y				
intel-mkl-2019.3.199-intel-18.0.1-5uszvid	153	system						
intel-mkl-2020.1.217-intel-18.0.3-zavvy42	48	system						
intel-mpi-2019.7.217-intel-18.0.3-b4z75iy	48	system						
intel/2016b	4	2016b	Y	Y				
intel/2018a	5178	2018a						
intel/2018b	4187	2018b						
intltool/0.51.0-GCCcore-6.4.0-Perl-5.26.1	39018	2018a						
intltool/0.51.0-GCCcore-7.3.0-Perl-5.28.0	3	2018b	Y	Y				
iomkl/2016.09-GCC-5.4.0-2.26	38427	2016b		Y				
iomkl/2018a	59201	2018a						
iomkl/2018b	6160	2018b						
iompi/2016.09-GCC-5.4.0-2.26	5048	2016b		Y				
iompi/2017.01	57	system						
iompi/2018a	48557	2018a						
iompi/2018b	6385	2018b						
libGLU/9.0.0-foss-2016b	12	2016b		Y				
libGLU/9.0.0-foss-2018a	41729	2018a						
libGLU/9.0.0-foss-2018b	2382	2018b						
libarchive/3.4.2-GCCcore-7.3.0	2	2018b	Y	Y				
libcerf/1.5-GCCcore-6.4.0	627	2018a						
libcircle/0.3-gompi-2018b	2	2018b	Y	Y				
libconfig/1.7.1-GCCcore-6.4.0	130	2018a						
libctl/4.2.0-foss-2018a	73791	2018a						
libdap/3.19.1-GCCcore-6.4.0	465	2018a						
libdrm/2.4.70-foss-2016b	12	2016b		Y				
libdrm/2.4.91-GCCcore-6.4.0	41717	2018a						
libdrm/2.4.92-GCCcore-7.3.0	2392	2018b						
libffi/3.2.1-GCCcore-6.4.0	226784	2018a						
libffi/3.2.1-GCCcore-7.3.0	5723	2018b						
libffi/3.2.1-foss-2016b	86	2016b			Y?			
libgd/2.2.5-GCCcore-6.4.0	627	2018a						
libgeotiff/1.4.2-foss-2016b	12	2016b		Y				
libgeotiff/1.4.2-foss-2018a	0	2018a	Y	Y				
libgeotiff/1.4.2-foss-2018b	954	2018b						
libgeotiff/1.5.1-GCCcore-6.4.0	45901	2018a						
libjpeg-turbo/1.5.0-GCCcore-5.4.0	652	2016b			Y?			
libjpeg-turbo/1.5.0-foss-2016b	12	2016b		Y				
libjpeg-turbo/1.5.3-GCCcore-6.4.0	80809	2018a						
libjpeg-turbo/2.0.0-GCCcore-7.3.0	4885	2018b						
libmatheval/1.1.11-GCCcore-6.4.0	0	2018a	Y	Y				
libmatheval/1.1.11-GCCcore-7.3.0	338	2018b						
libpciaccess/0.14-GCCcore-6.4.0	300814	2018a						
libpciaccess/0.14-GCCcore-7.3.0	32249	2018b						
libpng/1.2.58	0	system	Y	Y				
libpng/1.2.58-GCCcore-6.4.0	2775	2018a						
libpng/1.6.24-GCCcore-5.4.0	65	2016b		Y				
libpng/1.6.24-foss-2016b	23	2016b		Y				
libpng/1.6.28-GCCcore-5.4.0	5318	2016b			Y?			
libpng/1.6.34-GCCcore-6.4.0	82420	2018a						
libpng/1.6.34-GCCcore-7.3.0	6335	2018b						
libpthread-stubs/0.3-foss-2016b	12	2016b		Y				
libreadline/6.3-foss-2016b	5186	2016b			Y?			
libreadline/7.0-GCCcore-6.4.0	175330	2018a						
libreadline/7.0-GCCcore-7.3.0	8991	2018b						
libsndfile/1.0.28-GCCcore-7.3.0	947	2018b						
libsodium/1.0.11-foss-2016b	23	2016b		Y				
libspatialite/4.3.0a-foss-2018a	39099	2018a						
libtool/2.4.6-GCCcore-5.4.0	60	2016b		Y				
libtool/2.4.6-GCCcore-6.4.0	32	2018a						
libtool/2.4.6-GCCcore-7.3.0	3	2018b	Y	Y				
libtool/2.4.6-foss-2016b	0	2016b	Y	Y				
libunistring/0.9.10-GCCcore-7.3.0	339	2018b						
libunistring/0.9.7-GCCcore-6.4.0	73776	2018a						
libunwind/1.2.1-GCCcore-7.3.0	1429	2018b						
libwebp/0.6.1-foss-2016b	12	2016b		Y				
libwebp/1.0.2-GCCcore-6.4.0	25	2018a						
libxc/4.2.3-foss-2018b	339	2018b						
libxc/4.2.3-intel-2018b	199	2018b						
libxml2/2.9.4-GCCcore-5.4.0	0	2016b	Y	Y				
libxml2/2.9.4-GCCcore-6.4.0	126689	2018a						
libxml2/2.9.4-foss-2016b	23	2016b		Y				
libxml2/2.9.4-foss-2016b-Python-2.7.12	0	2016b	Y	Y				
libxml2/2.9.7-GCCcore-6.4.0	301584	2018a						
libxml2/2.9.8-GCCcore-6.4.0	37152	2018a						
libxml2/2.9.8-GCCcore-7.3.0	33654	2018b						
libxslt/1.1.29-foss-2016b	11	2016b		Y				
libxslt/1.1.32-GCCcore-6.4.0	80564	2018a			Y?			
libxsmm/1.8.3-foss-2018b	339	2018b						
lwgrp/1.0.2-gompi-2018b	2	2018b	Y	Y				
lxml/4.2.0-foss-2018a-Python-2.7.14	80923	2018a			Y?			
lz4/1.8.2-GCCcore-6.4.0	39027	2018a			Y?			
magma/2.3.0-foss-2018a-CUDA-9.1.85	2	2018a	Y	Y				
magma/2.3.0-iomkl-2018a-CUDA-9.1.85	148	2018a			Y			
miniconda/4.5.12	1557	system		Y				
miniconda/4.7.10	1488793	system						
miniconda/4.7.12	776008	system						
miniconda/4.8.3	163470	system						
mothur/1.42.3	63	system						
mothur/1.43.0	145	system						
motif/2.3.8-foss-2018a	183	2018a			Y			
mpifileutils/0.10.1-gompi-2018b	2	2018b	Y	Y				keep for tyler
ncurses/6.0	0	system	Y	Y			hide	
ncurses/6.0-GCCcore-5.4.0	39484	2016b		Y				
ncurses/6.0-GCCcore-6.4.0	255760	2018a		Y?				
ncurses/6.0-foss-2016b	1118	2016b		Y				
ncurses/6.1-GCCcore-6.4.0	37164	2018a		Y?				who is using this?
ncurses/6.1-GCCcore-7.3.0	88876	2018b						
ncurses/6.2-GCCcore-10.2.0	83078	system						
ncview/2.1.7-iomkl-2018a	241	2018a			Y			
netCDF-C++4/4.3.0-iomkl-2018a	84	2018a			Y			whois using this
netCDF-Fortran/4.4.4-foss-2018a	11	2018a		Y				
netCDF-Fortran/4.4.4-iomkl-2018a	1096	2018a		Y?				
netCDF-Fortran/4.4.4-iomkl-2018b	165	2018b						
netCDF-Fortran/4.4.4-iomkl-2018b-netcdf4	0	2018b	Y	Y				
netCDF/4.1.1-foss-2016b	1	2016b	Y	Y				
netCDF/4.4.1.1-foss-2016b	11	2016b		Y				
netCDF/4.5.0-foss-2016b	12	2016b		Y				
netCDF/4.6.0-foss-2018a	55806	2018a		Y				
netCDF/4.6.0-iomkl-2018a	1550	2018a						
netCDF/4.6.1-foss-2018b	954	2018b						
netCDF/4.6.1-iomkl-2018b	167	2018b						
netCDF/4.6.1-iomkl-2018b-netcdf4	0	2018b	Y	Y				
nettle/3.2-foss-2016b	12	2016b		Y				
nettle/3.4-GCCcore-7.3.0	1448	2018b						
nettle/3.4-foss-2018a	41710	2018a		Y?				who is using this?
nettle/3.4-foss-2018b	946	2018b		Y?				who is using this? could it load 7.3.0 instead?
npChapel/local	3	system	Y	Y				
numactl/2.0.11-GCC-5.4.0-2.26	11155	2016b		Y				who is using this?
numactl/2.0.11-GCCcore-5.4.0	57	2016b		Y				
numactl/2.0.11-GCCcore-6.4.0	300858	2018a		Y?				who is using this?
numactl/2.0.11-GCCcore-7.3.0	33202	2018b						
numactl/2.0.11-iccifort-2016.3.210-GCC-5.4.0-2.26	5086	2016b		Y				who is using this?
parallel/20180322-foss-2016b	1002	2016b			Y			
patchelf/0.10-GCCcore-7.3.0	0	2018b	Y	Y				
pestpp/4.0.12	0	system	Y	Y				
petsc4py/3.9.1-foss-2018b-Python-3.6.6	1380	2018b						
phyutility/2.7.1-Java-1.8	2	system	Y	Y				
pixman/0.34.0-GCCcore-6.4.0	40456	2018a		Y?				
pixman/0.34.0-GCCcore-7.3.0	948	2018b						
pixman/0.34.0-foss-2016b	12	2016b		Y				
pkg-config/0.29.1-foss-2016b	12	2016b		Y				
pkg-config/0.29.2-GCCcore-6.4.0	0	2018a	Y	Y				
pkg-config/0.29.2-GCCcore-7.3.0	4	2018b	Y	Y				
polymake/3.5-foss-2018a	0	2018a	Y	Y				
poppler/0.54.0-foss-2016b	12	2016b			Y?			
pybind11/2.2.4-foss-2018b-Python-3.6.6	0	2018b	Y	Y				
pytest/3.8.2-foss-2018b-Python-3.6.6	0	2018b	Y	Y				
qchem/5.1dev	201420	system						
qchem/5.3dev	100	system						
qrupdate/1.1.2-foss-2018a	627	2018a			Y?			who is using this?
quantum-espresso/6.4.1-environ-1.1-intel2018-openmpi	5415	system						
quantum-espresso/6.5-intel2018b-openmpi	362	2018b						
revbayes/1.1.0-foss-2018b	1	2018b	Y	Y				
rstudio_singularity/3.6.1	6	system	Y	Y				
slepc4py/3.9.0-foss-2018b-Python-3.6.6	1392	2018b						
slurm-drmaa/1.0.7-foss-2016b	11	2016b			Y			
stress-ng/0.10.02	0	system	Y				hide	
tabix/0.2.6-GCCcore-6.4.0	50	2018a		Y				
tbb/2017_U5-GCCcore-5.4.0	38341	2016b		Y				who is using this?
tbb/2018_U2-GCCcore-6.4.0	152	2018a			Y?			who is using this?
tesseract/4.0.0-GCCcore-6.4.0	3207	2018a			Y?			who is using this?
texinfo/6.5-GCCcore-6.4.0	0	2018a	Y	Y				
units/2.19-GCCcore-7.3.0	1	2018b	Y	Y				
unixODBC/2.3.7-GCCcore-6.4.0	0	2018a	Y	Y				
util-linux/2.29-foss-2016b	23	2016b		Y				
util-linux/2.31.1-GCCcore-6.4.0	40522	2018a			Y?			who is using this?
util-linux/2.32-GCCcore-7.3.0	6654	2018b						
wxPython/3.0.2.0-foss-2018a-Python-2.7.14	1973	2018a			Y?			who is using this?
wxPython/3.0.2.0-foss-2018a-Python-3.6.4	37042	2018a			Y?			who is using this?
wxWidgets/3.0.3-foss-2018a	0	2018a	Y	Y				
x264/20180128-GCCcore-6.4.0	39805	2018a			Y?			who is using this?
x265/2.6-GCCcore-6.4.0	39797	2018a			Y?			
xbitmaps/1.1.1	174	system						
xorg-macros/1.19.1-GCCcore-6.4.0	0	2018a	Y	Y				
xorg-macros/1.19.2-GCCcore-7.3.0	0	2018b	Y	Y				
xprop/1.2.2-GCCcore-6.4.0-X11-20180131	1347	2018a						
zlib/1.2.11	123	system					hide	
zlib/1.2.11-GCCcore-10.2.0	83097	system						
zlib/1.2.11-GCCcore-5.4.0	5476	2016b		Y				
zlib/1.2.11-GCCcore-6.4.0	311156	2018a		Y				
zlib/1.2.11-GCCcore-7.3.0	113064	2018b						
zlib/1.2.8	0	system	Y				hide	
zlib/1.2.8-GCCcore-5.4.0	2304	2016b		Y				
zlib/1.2.8-foss-2016b	795	2016b		Y				
zstd/1.4.0-GCCcore-6.4.0	39051	2018a			Y?			who is using this?
