	sum 	toolchain	unused	deprecate?	flag for upgrade, then deprecate?	flag for upgrade only	hide only	comments
Eigen/3.3.4	6542	system						
Eigen/3.3.7	83782	system						
Emacs/25.3-GCCcore-6.4.0	1	2018a	Y	Y				
Emacs/26.2-GCCcore-5.4.0	651	2016b		Y				
Emacs/26.2-GCCcore-6.4.0	389	2018a			Y			
EnergyPlus/9.1.0	0	system	Y	Y				
FFC/2018.1.0-foss-2018b-Python-3.6.6	1423	2018b						
FFTW/2.1.5-iomkl-2018b	222	2018b						who is using this?
FFTW/3.3.4-gompi-2016b	3129	2016b		Y?				who is using this?
FFTW/3.3.4-iomkl-2016.09-GCC-5.4.0-2.26	34764	2016b		Y?				who is using this?
FFTW/3.3.7-GCC-6.4.0-2.28-serial	1	2018a	Y	Y?				
FFTW/3.3.7-gompi-2018a	247332	2018a						
FFTW/3.3.8-gompi-2018b	16405	2018b						
FFTW/3.3.8-gompic-2018b	14	2018b						
FFTW/3.3.8-intel-2018b	59	2018b						
FFmpeg/3.4.2-foss-2018a	39851	2018a				Y		
FHI-aims/171221_1-iomkl-2018a	0	2018a	Y	Y				
FHI-aims/171221_1-iomkl-2018b	70	2018b						
FHI-aims/200112_2-iomkl-2018b	1	2018b	Y					
FIAT/2018.1.0-foss-2018b-Python-3.6.6	1438	2018b						
FLTK/1.3.4-foss-2018a	1361	2018a				Y		
FSL/5.0.10-centos7_64	65	system						
FSL/6.0.0-centos7_64	51	system						
FSL/6.0.3-centos7_64	12	system						
FastQC/0.11.7-Java-1.8.0_92	299	system						
FreeSurfer/5.3.0	0	system	Y	Y				
FreeSurfer/5.3.0-HCP	37	system						
FreeSurfer/6.0.0	160	system						
FreeXL/1.0.3-GCCcore-6.4.0	39111	2018a				Y		
FriBidi/1.0.1-foss-2018a	0	2018a	Y	Y				
GAMESS-US/20170420-R1-intel-2016b	2	2016b	Y	Y				
GATK/4.1.8.1-Java-1.8	334	system						
GCC/10.2.0	47380	system						
GCC/5.4.0-2.26	18622	2016b					hide	
GCC/6.4.0-2.28	266870	2018a					hide	
GCC/7.3.0-2.30	112035	2018b						
GCCcore/10.2.0	83225	system						
GCCcore/5.4.0	25706	2016b					hide	
GCCcore/6.4.0	321182	2018a					hide	
GCCcore/7.3.0	148084	2018b						
GCCcore/8.2.0	81	system						
GConf/3.2.6-foss-2018a	39024	2018a						
GDAL/2.2.3-foss-2016b	12	2016b		Y				
GDAL/2.2.3-foss-2018a-Python-2.7.14	9465	2018a						
GDAL/2.2.3-foss-2018b-Python-3.7.0	954	2018b						
GDAL/3.1.0-foss-2018a-Python-3.6.4	45904	2018a						
GEOS/3.6.2-foss-2018a-Python-2.7.14	46468	2018a						
GEOS/3.6.2-foss-2018a-Python-3.6.4	46024	2018a						
GEOS/3.6.2-foss-2018b-Python-3.7.0	954	2018b						
GL2PS/1.4.0-foss-2018a	1896	2018a						is this a dep?
GLM/0.9.9.0-GCCcore-6.4.0	4	2018a	Y	Y				
GLPK/4.61-foss-2016b	12	2016b		Y				
GLPK/4.65-GCCcore-6.4.0	626	2018a						is this a dep?
GLib/2.49.5-foss-2016b	12	2016b		Y				
GLib/2.51.2-foss-2016b	12	2016b		Y				
GLib/2.54.3-GCCcore-6.4.0	40563	2018a						
GLib/2.54.3-GCCcore-7.3.0	2686	2018b						
GMP/6.1.0-foss-2016b	321	2016b		Y				
GMP/6.1.1-foss-2016b	97	2016b		Y				
GMP/6.1.2-GCCcore-6.4.0	237985	2018a						
GMP/6.1.2-GCCcore-7.3.0	5393	2018b						
GObject-Introspection/1.51.3-foss-2016b	12	2016b		Y				
GObject-Introspection/1.54.1-foss-2018a-Python-2.7.14	39020	2018a						
GObject-Introspection/1.54.1-foss-2018b-Python-2.7.15	0	2018b	Y					
GRASS/7.6.0-foss-2018a-Python-2.7.14	1972	2018a						
GRASS/7.8.0-foss-2018a-Python-3.6.4	37051	2018a						
GROMACS/2016.5-intel-2018a	427	2018a			Y?			reinstall 2016.5 with foss
GROMACS/2019.3-foss-2018a	3905	2018a						
GROMACS/2019.3-foss-2018amulti-precision	2	2018a	Y	Y				
GROMACS/2019.3-foss-2018b	1918	2018b						
GROMACS/2019.3-foss-2018b-CUDA-10.0.130	56	2018b						
GROMACS/2019.3-foss-2018b-wlmfit	6	2018b	Y					
GROMACS/5.1.4-foss-2016b-hybrid	27	2016b			Y			do they still need this?
GSL/2.1-foss-2016b	265	2016b		Y				
GSL/2.3-GCCcore-6.4.0	120980	2018a						
GSL/2.3-foss-2016b	249	2016b		Y				
GSL/2.3-iccifort-2016.3.210-GCC-5.4.0-2.26	1773	2016b		Y				
GSL/2.4-GCCcore-6.4.0	0	2018a	Y	Y				
GSL/2.5-GCC-7.3.0-2.30	1313	2018b						
GSL/2.5-iccifort-2018.3.222-GCC-7.3.0-2.30	2079	2018b						
GST-plugins-base/0.10.36-foss-2018a	39030	2018a						
GStreamer/0.10.36-foss-2018a	39035	2018a						
GTK+/2.24.32-foss-2018a	39028	2018a						
GULP/5.2-intel-2018b	9	2018b	Y					
Gaussian/09-E.01	4836	system						
